State,Year,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Jharkhand,2030,-6.313347,5.1837945,5.0507603,-4.912797,4.54478,5.6075263,3.5518053,-4.897479,-3.9851558,-8.02423,-2.7475593,4.787829,3.953949,-6.198022,4.3595243,6.7141814
Karnataka,2024,-15.655082,13.658313,11.326157,-8.698749,12.462051,13.430798,7.4843407,-12.650183,-10.120423,-17.525345,-6.463737,12.4747,8.730014,-15.042999,10.250986,15.7005
Karnataka,2025,-16.016365,13.968633,11.587752,-8.9066925,12.746845,13.7421465,7.6560664,-12.936233,-10.351864,-17.925024,-6.608422,12.755636,8.934277,-15.388822,10.484552,16.059374
Karnataka,2026,-16.554144,14.430189,11.974832,-9.209065,13.172449,14.204496,7.9073825,-13.363468,-10.697436,-18.513552,-6.8249454,13.1761465,9.234694,-15.90399,10.8294325,16.591291
Karnataka,2027,-16.703926,14.558557,12.082722,-9.293329,13.290894,14.333242,7.9773717,-13.48227,-10.793756,-18.677505,-6.8851495,13.2931385,9.318355,-16.047537,10.925512,16.739521
Karnataka,2028,-16.77275,14.6174755,12.1324005,-9.332361,13.345197,14.39244,8.009679,-13.53675,-10.837956,-18.753067,-6.9127564,13.346755,9.356941,-16.113472,10.969732,16.807692
Karnataka,2029,-16.828066,14.664896,12.172361,-9.363742,13.388856,14.440032,8.03566,-13.580525,-10.873512,-18.813866,-6.934962,13.389828,9.387957,-16.166485,11.005294,16.86242
Karnataka,2030,-16.847452,14.681509,12.186414,-9.374851,13.404108,14.456724,8.044855,-13.595852,-10.885983,-18.835308,-6.9427357,13.404884,9.398906,-16.185064,11.017808,16.881643
Kerala,2024,-14.041887,12.012057,10.207959,-7.9319425,11.137321,12.040603,6.445559,-11.307266,-8.952257,-15.376789,-5.9113293,11.218346,7.6348925,-13.602209,8.9071865,14.011049
Kerala,2025,-14.165422,12.122698,10.307576,-8.039768,11.226078,12.14825,6.5291605,-11.396827,-9.030271,-15.549109,-5.953831,11.303745,7.721538,-13.722682,8.999085,14.14155
Kerala,2026,-14.296656,12.235028,10.418701,-8.1695385,11.314736,12.265731,6.6216297,-11.489365,-9.112849,-15.739537,-6.001154,11.391596,7.8192735,-13.852688,9.097588,14.28453
Kerala,2027,-14.304274,12.241629,10.426493,-8.18166,11.318667,12.272941,6.629767,-11.493845,-9.117554,-15.754699,-6.0033503,11.395487,7.8271437,-13.860489,9.104676,14.294004
Kerala,2028,-14.2929535,12.231451,10.418559,-8.1763735,11.309014,12.263362,6.6249304,-11.484551,-9.1102295,-15.742879,-5.998773,11.386322,7.8213024,-13.849503,9.097659,14.283145
Kerala,2029,-14.284873,12.22396,10.41261,-8.171708,11.30223,12.256441,6.620808,-11.478045,-9.104997,-15.733417,-5.995669,11.380019,7.816639,-13.841583,9.092278,14.275151
Kerala,2030,-14.281814,12.221272,10.410338,-8.169788,11.299809,12.253812,6.6192546,-11.475649,-9.1030445,-15.729866,-5.994468,11.377678,7.814856,-13.838602,9.090269,14.272101
Ladakh,2024,-1.0884302,0.90445226,1.002778,-1.0729022,0.75358254,1.0216081,0.7714325,-0.96413314,-0.66084063,-1.7588522,-0.64015824,0.9619107,0.72976786,-1.1151255,0.9083546,1.4017258
Ladakh,2025,-1.0854828,0.9028579,0.99920547,-1.066424,0.7527378,1.0183321,0.76824474,-0.962692,-0.6592532,-1.7524939,-0.639041,0.96097773,0.7263892,-1.1118984,0.9057688,1.3977251
Ladakh,2026,-1.0921898,0.9088788,1.0038786,-1.0695393,0.7583433,1.024023,0.7712453,-0.9681227,-0.6637059,-1.7596238,-0.6418208,0.9665298,0.729954,-1.1183866,0.91011304,1.404274
Ladakh,2027,-1.0930774,0.9096344,1.0046341,-1.0705012,0.7589224,1.0248533,0.7718729,-0.96875036,-0.6642666,-1.7609603,-0.64216423,0.9671191,0.7306303,-1.1192731,0.91080093,1.4052498
Ladakh,2028,-1.0937636,0.91019803,1.0052421,-1.0713109,0.75934315,1.0255067,0.77238816,-0.9692229,-0.6646976,-1.7620363,-0.64243096,0.9675394,0.7311835,-1.1199527,0.91134536,1.4060192
Ladakh,2029,-1.0940822,0.9104595,1.0055271,-1.0716952,0.7595366,1.025812,0.7726307,-0.9694413,-0.6648977,-1.7625425,-0.6425553,0.96773255,0.73144376,-1.1202687,0.9115998,1.4063785
Ladakh,2030,-1.0940874,0.9104607,1.0055339,-1.0717124,0.759536,1.0258195,0.77263665,-0.96944284,-0.66489977,-1.7625554,-0.6425581,0.9677317,0.73145115,-1.1202724,0.91160583,1.4063861
Lakshadweep,2024,-6.3338933,5.098216,5.416449,-6.1862907,4.155486,5.798219,4.1016884,-4.6624613,-3.9178894,-8.97465,-2.7628055,4.386202,4.453395,-6.32978,4.5854096,6.9584694
Lakshadweep,2025,-6.166385,4.977265,5.3399587,-6.1885295,4.004879,5.650937,4.119445,-4.5192695,-3.8383415,-8.925797,-2.6508572,4.2378244,4.420196,-6.1682005,4.5301404,6.8285947
Lakshadweep,2026,-5.464813,4.4301972,4.7214217,-5.4719725,3.5455036,4.9890575,3.666586,-4.024935,-3.3971689,-7.9337835,-2.3574073,3.8030922,3.8969233,-5.458148,4.040322,6.093328
Lakshadweep,2027,-5.396477,4.3753085,4.676115,-5.426645,3.508134,4.9422693,3.628632,-3.9772305,-3.3580062,-7.85928,-2.3354778,3.7487724,3.8619697,-5.3990607,3.9962494,6.023733
Lakshadweep,2028,-5.284251,4.2766924,4.592424,-5.328109,3.4417021,4.855151,3.5468037,-3.9015632,-3.2821069,-7.7032647,-2.3038533,3.6644444,3.7888525,-5.298919,3.905341,5.8928804
Lakshadweep,2029,-5.4065194,4.3680034,4.697041,-5.446039,3.517051,4.967479,3.6180923,-3.9880219,-3.3536599,-7.8633666,-2.3571806,3.7405589,3.874395,-5.4207263,3.98337,6.0150347
Lakshadweep,2030,-5.7067056,4.623863,4.9555283,-5.7536216,3.7111137,5.229987,3.8440673,-4.198712,-3.5532644,-8.316273,-2.4570234,3.9414499,4.1019425,-5.7133746,4.2173266,6.3501697
Madhya Pradesh,2024,-23.964039,20.451868,16.862038,-12.172904,18.977922,20.403486,10.55422,-19.425835,-15.619914,-25.341808,-10.098839,19.326906,12.699464,-22.80246,15.126495,23.66895
Madhya Pradesh,2025,-24.504417,20.914211,17.252567,-12.503189,19.372864,20.875313,10.832917,-19.830832,-15.973942,-25.96425,-10.311294,19.72498,13.022733,-23.30171,15.494083,24.200117
Madhya Pradesh,2026,-24.963713,21.303253,17.595861,-12.81475,19.70049,21.278023,11.0898485,-20.176758,-16.273825,-26.523968,-10.489809,20.06028,13.313958,-23.728712,15.815225,24.668888
Madhya Pradesh,2027,-24.57424,20.974947,17.304209,-12.546866,19.42602,20.938305,10.871506,-19.886393,-16.022743,-26.050314,-10.34027,19.779524,13.067177,-23.36782,15.544009,24.274221
Madhya Pradesh,2028,-24.233995,20.684444,17.054695,-12.336561,19.172253,20.63923,10.698224,-19.625881,-15.800986,-25.656404,-10.203378,19.523998,12.862966,-23.04914,15.314376,23.935575
Madhya Pradesh,2029,-24.339775,20.774061,17.130219,-12.397313,19.251337,20.73095,10.748715,-19.706385,-15.869452,-25.772938,-10.246079,19.603762,12.923303,-23.147717,15.383679,24.038164
